trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
145,False,"{'a': 0.01, 'e': 0.1205027693673666}",25,8,34.71269357578282,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.11056977982006957}",20,0,31.52525819870675,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
147,False,"{'a': 0.01, 'e': 0.10062573338693172}",25,15,13.526087603904976,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.09067162446430967}",20,11,4.907927698325627,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.08070844845480062}",20,11,17.005774032329175,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.0707372016677029}",20,8,20.398904281227832,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.0607588812193859}",25,11,7.711611881206036,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.05077448493357918}",20,16,8.390659902390087,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.040785011241591035}",20,8,10.648000728077447,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.030791459082466124}",20,12,13.881509518409011,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.01, 'e': 0.02079482780309243}",30,13,33.51222848844453,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.01, 'e': 0.010796117058267392}",20,7,23.86928196111297,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.01, 'e': 0.0007963267107332633}",30,3,46.36170372432191,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,19,9.572023857610471,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,29.279261907316197,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,12,14.61549573046371,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,11,25.556051887479136,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,13,18.393904118040577,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,14,11.557058249256725,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,8,30.808677506448888,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,18,12.413402095650167,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,12,18.940289688690576,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
